Alimento;Gramos por Porción;Calorías por Porción;Proteína (g)
Kumis de leche entera;200;153;7
Leche de cabra cruda;200;138;7,2
Leche de vaca entera cruda;200;120;6,8
Leche de vaca entera en polvo;26;129;6,8
Leche de vaca entera pasteurizada;200;122;6,6
Yogurt regular de leche entera;200;140;6
"Avena líquida con leche de vaca 
descremada";250;110;5
Bebida de Soya comercial;200;100;7,6
Leche de vaca semidescremada en polvo;26;106;7
"Leche de vaca semidescremada
pasteurizada (con o sin lactosa)";200;90;6
Yogurt de leche entera - Yox;100;80;3
Yogurt de leche entera cuchareable;140;115;3
Leche de vaca descremada en polvo;21;76;7,6
Leche de vaca descremada pasteurizada;200;70;6,8
Yogurt de leche descremada;200;90;6
Yogurt Griego natural;100;60;5
"Avena con leche de vaca entera 
comercial";250;185;4,8
Kumis de leche entera azucarado;200;170;5,6
Leche de vaca entera chocolatada;200;170;6
Yogurt de leche entera azucarado;200;190;7
Butifarra;31;70;4
Cuajada de leche de vaca;30;90;6
Huevo de gallina crudo;50;75;6,3
Huevos de codorniz crudo;50;79;6,6
"Jamón de Cerdo (97% libre de grasa 
y 25% reducido en sodio)";42;50;5
Jamón de Pavo;46;61;7,2
Morcilla;45;72;8,2
Mortadela común;30;70;6
Pepperoni;16;79;3,7
Quesito;30;83;6,5
Queso Americano;24;79;4
"Queso búfala tipo mozzarella 
fresco graso de pasta hilada";30;84;4,5
"Queso Campesino 
(fresco semiduro, graso)";30;84;4,8
Queso Cheddar;20;81;5
Queso Costeño rallado;20;64;4
Queso de Cabra;20;73;4,3
"Queso fresco de pasta hilada, 
semiduro, semigraso (Finesse)";30;70;7
Queso fresco semiduro graso;30;90;5,7
Queso Gouda;20;71;5
"Queso mozzarella de leche entera 
de vaca semiduro, semigraso";34;102;7,5
Queso Parmesano rallado;14;63;4
"Queso Ricotta 
(de leche semidescremada)";50;77;5,8
Queso sabana (Edam);22;79;5,5
Queso Tipo Pera;36;84;7,2
Salami;25;82;3,1
Salchicha tradicional;25;67;4,9
Salchicha vegetariana;37;95;6,8
Salchichón cervecero;34;82;6,1
Salchichón de pollo;40;80;0
Atún enlatado en agua, sólidos;120;139;30,6
Carne de cabra o chivo;100;109;20,6
Carne de cerdo lomo o cañón magro;100;143;21,4
Carne de conejo todos los cortes;100;136;20,1
"Carne de cordero diferentes cortes 
grasa menor 10%";100;134;20,3
Carne de Cuy o cuy;100;95;19
Carne de res todos los cortes magra;100;150;21,5
Carne de ternera diferentes cortes magra;100;112;20,2
Chuleta de cerdo magro;100;149;22,1
Contramuslo de pollo, carne sin piel;86;102;16,9
Muslo de pollo, carne sin piel;75;90;15,1
Pargo especies mezcladas;100;100;20,5
Pavo todas las carnes sin piel;100;119;21,8
Pechuga de pollo, carne sin piel;80;88;18,5
Proteína de soya texturizada hidratada;60;83;14,5
Proteína de trigo texturizada hidratada;75;78;9,5
Salmon rosado, crudo;73;85;14,5
Trucha arcoíris;81;112;16,9
Alas de pollo carne y piel;84;186;15,4
Bagre carne y piel;76;140;14,4
Callo o panza;100;98;14,6
Camarón especies mezcladas;73;77;14,8
Contramuslo de pollo sin hueso y con piel;105;222;18,2
Hígado de pollo;72;90;13
Hígado de res;100;143;20
Langostino especies mezcladas;95;73;15,2
Lengua de res;100;224;14,9
Sardina enlatada en salsa de tomate;100;178;16,4
Arveja seca cocida;157;132;8,5
Fríjol blanquillo con guiso**;110;152;9
Fríjol bola roja con plátano verde*;120;150;8,6
Fríjol cabecita negra con guiso**;130;149;9,1
Fríjol caraota con guiso**;130;149;9,1
"Fríjol cargamanto blanco con 
plátano verde*";110;146;7,4
"Fríjol cargamanto rosado con 
plátano verde*";110;157;8,2
Fríjol nima con guiso**;130;149;9,3
Fríjol verde con plátano verde*;100;150;8,6
Fríjol zaragoza con guiso**;100;160;8,1
Garbanzo con guiso**;100;160;8,1
Lenteja con guiso**;130;152;9,6
Soya con guiso**;90;158;13,5
Tostada o calado;32;94;2,9
Zucaritas;25;96;1,3
Arracacha;96;90;1
Batata;100;105;1,7
Chuguas u ollucos;155;90;2,3
Cubios;155;90;2,5
Harina de plátano;24;87;0,9
Ñame;78;90;1,2
Papa común;83;90;1,9
Papa criolla;108;90;2,7
Plátano colí o guineo;88;99;1,5
Plátano hartón maduro;66;90;0,7
Plátano verde;78;111;0,9
Yuca blanca;62;91;0,5
Almojábana;24;69;3,1
"Arena redonda de maíz 
blanco trillado";35;61;1,4
Arroz blanco, cocido;52;68;1,2
Arroz integral, cocido;63;71;1,4
Arroz parbolizado cocido;60;68;1,4
Avena en hojuelas fortificada;18;66;2,8
Cebada perlada cocida;57;70;1,3
Choco Krispis;19;72;1,2
Corn Flakes;18;66;1,2
Cuchuco de cebada, crudo;20;69;1,8
Espaguetis de arroz, hidratados;50;55;0,5
Espaguetis de trigo, cocidos;50;71;2,4
Froot Loops;20;78;1
Galletas Saltinas;16;66;1,5
Harina de trigo enriquecida;18;66;1,9
Macarrores, cocidos;45;63;2,2
Maicena (almidón de maíz);20;76;0,1
Maíz pira, crudo;21;70;1,8
"Maíz tierno o choclo, 
amarillo enlatado";88;71;2,3
"Mazamorra antioqueña 
(maíz cocido)";80;86;2,6
Palitos o palitroques;16;66;1,9
Pan blanco;22;59;1,8
Pan centeno;27;70;2,3
Pan de salvado de avena;30;71;3,1
Pan integral;32;79;3,1
Pan pita o árabe;25;69;2,3
"Pancake (mezcla preparada 
con leche entera)";30;68;1,9
Pandequeso;28;78;2,9
Pandeyuca;20;69;3,2
Pasta corta cocida;50;71;2,4
Seba Seba;24;70;2,2
Taco vacío;13;61;0,9
Tortilla de maíz;30;67;1,7
Tostada o calado;25;73;2,3
Zucaritas;22;84;1,1
Arracacha;70;66;0,7
Batata;50;53;0,9
Chuguas u ollucos;118;68;1,8
Cubios;120;70;1,9
Harina de plátano;16;58;0,6
Ñame;53;61;0,8
Papa común;70;76;1,6
Papa criolla;84;70;2,1
Plátano colí o guineo;44;50;0,7
Plátano hartón maduro;51;70;0,6
Plátano verde;52;74;0,6
Yuca blanca cruda;40;58;0,3
Aceite de aguacate;5;44;0
Aceite de canola;5;44;0
Aceite de oliva;5;44;0
Aceitunas deshuesadas;40;46;0,3
Aguacate común;30;48;0,6
Aguacate Hass;30;48;0,6
Mantequilla de Maní;8;45;2,2
Margarinas suaves, sin sal;6;43;0
Salsa Pesto;10;52;0,5
Aceite de palma;5;44;0
Crema agria (Sour cream);26;56;0,8
Crema de leche líquida, espesa entera;13;45;0,3
Manteca de cerdo;5;45;0
Mantequilla sin sal;5;36;0
Queso crema;12;42;0,9
Crema de leche Light;27;45;0
Margarina line (reducida 25%);10;47;0
Mayonesa Ligth;22;44;0
Queso crema light;27;45;3,6
Salsa de queso Cheddar;26;44;0,9
Banano común;65;60;0,7
Borojó;54;50;0,6
Chirimoya;92;67;1,7
Chontaduro;27;50;0,9
Ciruela claudia;108;59;0,9
Ciruela común;60;47;0,6
Curuba;200;50;1,2
Feijoa;117;54;1,1
Fresas;161;52;1,3
Granadilla;100;46;1,1
Guanábana;100;52;1,1
Guayaba criolla;105;54;0,8
Guayaba manzana;169;61;1,5
Higo;113;46;0,8
Kiwi;82;50;0,8
Lulo;196;45;1,2
Lulo jugo;200;46;1,2
Mango;112;73;0,6
"Manzana con cascara 
toda variedad";112;66;0,2
Maracuyá;66;64;1,5
Melón;126;44;1,1
Mora;96;50;0,7
Murrapo;49;51;0,6
Naranja;147;69;1,3
Naranja orlando;144;68;1,3
Naranja tangelo;131;62;1,2
Naranja valencia;126;59;1,1
Papaya;128;50;0,8
Papayuela;308;49;2,2
Pera;85;50;0,3
Piña manzana;110;54;0,4
Pitahaya;110;55;0,4
Sandía Baby;156;50;0,9
Tomate árbol común;174;52;2,4
Tomate árbol rojo;167;50;2,3
Uchuva;68;50;0,1
Zapote sin semilla;118;58;1,3
Cebolla roja;66;25;
Champiñón tajado;100;25;2,1
Champiñones;93;23;2
Champiñones enlatados;83;20;1,6
Chócolo desgranado;30;26;1
Cidrayota;177;34;1,4
Coliflor;86;25;2,6
Espárragos enlatados;105;20;2,2
Habichuela;81;25;1,5
Habichuelas enlatadas;100;20;1,2
Palmitos enlatados;71;20;1,8
Pepinillos agridulces;21;25;0,1
Pimentón rojo;111;30;1
Rábano con cáscara;125;25;0,8
Remolacha, cocida;57;25;1
Tomate chonto;118;25;1,1
Tomate larga vida;132;27;
Tomate riñón;104;25;1,2
Tomate rojo maduro enlatado;105;20;0,9
Zanahoria;58;25;0,6
Almendras tostadas sin sal;9;53;1,5
